audit_id,action_id,cif_no,event_type,actor,event_payload,created_at
90f87dd4-8505-5d93-ae3e-e54de5bdf06a,10a66751-e588-52b3-8c89-c500d10fd465,CIF000066,USER_REQUEST_RECEIVED,USER,"{""event"": ""USER_REQUEST_RECEIVED"", ""user_text"": ""Chuyen 50 trieu cho nguoi nhan moi"", ""action_type"": ""TRANSFER""}",2026-05-22 08:25:14
84da15cb-f39c-5e94-9528-6964c70ddbc1,10a66751-e588-52b3-8c89-c500d10fd465,CIF000066,INTENT_CLASSIFIED,ORCHESTRATOR,"{""event"": ""INTENT_CLASSIFIED"", ""action_type"": ""TRANSFER""}",2026-05-22 08:25:15
4122fdbb-70ea-513f-b707-ad28c9c718a3,10a66751-e588-52b3-8c89-c500d10fd465,CIF000066,ENTITY_EXTRACTED,TRANSACTION_AGENT,"{""event"": ""ENTITY_EXTRACTED"", ""action_type"": ""TRANSFER""}",2026-05-22 08:25:16
360efce5-781e-52ed-842c-f8dada762bcd,10a66751-e588-52b3-8c89-c500d10fd465,CIF000066,RECIPIENT_RESOLVED,TRANSACTION_AGENT,"{""event"": ""RECIPIENT_RESOLVED"", ""action_type"": ""TRANSFER""}",2026-05-22 08:25:19
f7f84123-d1cf-5b1b-a20f-127da1d6c765,10a66751-e588-52b3-8c89-c500d10fd465,CIF000066,RISK_CHECKED,GUARDIAN,"{""event"": ""RISK_CHECKED"", ""risk_tier"": ""GREEN"", ""risk_score"": 0.21, ""action_type"": ""TRANSFER""}",2026-05-22 08:25:22
d32f8f82-ee9e-5eff-aee8-1f6ad3bc7a69,10a66751-e588-52b3-8c89-c500d10fd465,CIF000066,USER_CONFIRMED,USER,"{""event"": ""USER_CONFIRMED"", ""action_type"": ""TRANSFER""}",2026-05-22 08:25:23
e8593a03-2659-524b-b9b7-2a5f2286ca98,10a66751-e588-52b3-8c89-c500d10fd465,CIF000066,OTP_VERIFIED,USER,"{""event"": ""OTP_VERIFIED"", ""action_type"": ""TRANSFER""}",2026-05-22 08:25:26
c513453d-b438-579c-8c59-fcaf52a4f61c,10a66751-e588-52b3-8c89-c500d10fd465,CIF000066,API_CALLED,EXECUTOR,"{""event"": ""API_CALLED"", ""action_type"": ""TRANSFER""}",2026-05-22 08:25:28
fe419bae-af47-5eda-88fd-2a0250a9ee78,10a66751-e588-52b3-8c89-c500d10fd465,CIF000066,ACTION_EXECUTED,EXECUTOR,"{""event"": ""ACTION_EXECUTED"", ""action_type"": ""TRANSFER""}",2026-05-22 08:25:31
a2c07e9d-629a-5955-a32d-6cd3322f808a,bbd8c20a-2e83-5670-a6b3-a43703812c12,CIF000039,USER_REQUEST_RECEIVED,USER,"{""event"": ""USER_REQUEST_RECEIVED"", ""user_text"": ""Gui tien cho me 5 trieu"", ""action_type"": ""TRANSFER""}",2026-04-29 23:42:24
